loc_names,lon,lat,romaji,l_code
稚内,141.6730822,45.4156641,WAKKANAI,401
留萌,141.6370118,43.9409868,RUMOI,406
旭川,142.364819,43.7706355,ASAHIKAWA,407
網走,144.2733983,44.0206319,ABASHIRI,409
札幌,141.3543763,43.0620958,SAPPORO,412
岩見沢,141.7759332,43.1962055,IWAMIZAWA,413
帯広,143.1961031,42.9238989,OBIHIRO,417
釧路,144.3813556,42.9848542,KUSHIRO,418
根室,145.5827903,43.3300759,NEMURO,420
室蘭,140.9737991,42.3152306,MURORAN,423
浦河,142.7681204,42.1685159,URAKAWA,426
江差,140.12746,41.8691558,ESASHI,428
函館,140.7288103,41.7687933,HAKODATE,430
倶知安,140.7586977,42.9018294,KUTYASU,433
紋別,143.3545033,44.3564842,MONBETSU,435
広尾,139.7210272,35.65019590000001,HIROO,440
新庄,140.3016084,38.7650154,SHINJO,520
青森,140.7399984,40.8243077,AOMORI,575
八戸,141.4883986,40.5122839,HACHINOHE,581
秋田,140.1023643,39.7186135,AKITA,582
盛岡,141.1544838,39.702053,MORIOKA,584
宮古,141.9571394,39.6414202,MIYAKO,585
酒田,139.8365708,38.9147858,SAKATA,587
山形,140.3636333,38.2404355,YAMAGATA,588
仙台,140.8693558,38.268215,SENDAI,590
福島,140.4675514,37.7502986,FUKUSHIMA,595
白河,120.4588059,23.3336369,SHIROKAWA,597
小名浜,140.9055861,36.9490884,ONAHAMA,598
輪島,136.8991957,37.3905901,WAJIMA,600
相川,143.1509763,42.5361065,AIKAWA,602
新潟,139.0364126,37.9161924,NIIGATA,604
金沢,136.6562051,36.56132540000001,KANAZAWA,605
富山,137.2136768,36.6959518,TOYAMA,607
長野,138.1809557,36.6512986,NAGANO,610
高田,-83.47174059999999,42.4781014,TAKATA,612
宇都宮,139.8828072,36.5551124,UTSUNOMIYA,615
福井,136.2215269,36.0651779,FUKUI,616
高山,137.2521729,36.1461236,TAKAYAMA,617
松本,137.9720341,36.2380381,MATSUMOTO,618
前橋,139.0634281,36.3894816,MAEBASHI,624
熊谷,139.3886446,36.1473097,KUMAGAYA,626
水戸,140.4709965,36.3665027,MITO,629
敦賀,136.0554408,35.6452443,SHIGA,631
岐阜,136.7222906,35.3912272,GIFU,632
名古屋,136.906398,35.1814464,NAGOYA,636
飯田,137.8214466,35.5149777,IIDA,637
甲府,138.5682015,35.66228,KOFU,638
銚子,140.8266406,35.7346813,KOTOKO,648
津,117.3616476,39.3433574,TSU,651
浜松,137.7261258,34.7108344,HAMAMATSU,654
静岡,138.3830845,34.9771201,SHIZUOKA,656
東京,139.7690174,35.6803997,TOKYO,662
尾鷲,136.1909953,34.0707989,OBARI,663
横浜,139.6380256,35.4437078,YOKOHAMA,670
館山,139.8699653,34.9965057,TATEYAMA,672
大島,139.3856256,34.7408836,OSHIMA,675
三宅島,139.5249207,34.0909273,MIYAKEJIMA,677
八丈島,139.8035566,33.1030212,HACHIJOJIMA,678
西郷,140.1553637,37.1416956,NISHIGO,740
松江,121.227747,31.032243,MATSUE,741
米子,133.3309447,35.4280717,YONEKO,744
鳥取,134.2377356,35.5038906,TOTTORI,746
豊岡,134.8201814,35.5445754,TOYOKA,747
舞鶴,135.3859918,35.4747971,MAIZURU,750
浜田,132.0797833,34.8993025,HAMADA,755
京都,135.7680294,35.0116363,KYOTO,759
彦根,136.2620058,35.272378,HIKONE,761
下関,130.941459,33.9578307,SHIMONOSEKI,762
広島,132.4552927,34.3852029,HIROSHIMA,765
岡山,133.9195019,34.6551456,OKAYAMA,768
神戸,135.1955112,34.690083,KOBE,770
大阪,135.5021651,34.6937378,OSAKA,772
洲本,134.8953669,34.3428705,KUSHIMOTO,776
和歌山,135.1675086,34.2259867,WAKAYAMA,777
潮岬,135.7557652,33.4369992,TIDE,778
奈良,135.8050002,34.6850869,NARA,780
厳原,129.2898006,34.2042367,IKUHARA,800
福岡,130.4017155,33.5903547,FUKUOKA,807
佐賀,130.2997942,33.2494416,SAGA,813
大分,131.6126189,33.2381718,OITA,815
長崎,129.877667,32.7502856,NAGASAKI,817
熊本,130.7078911,32.8031004,KUMAMOTO,819
延岡,131.6650094,32.5822723,NOBEOKA,822
鹿児島,130.5571158,31.5965535,KAGOSHIMA,827
宮崎,131.4202411,31.9076736,MIYAZAKI,830
屋久島,130.5127142,30.3445936,YAKUSHIMA,836
種子島,130.9788775,30.609558,TANESHIMA,837
福江,128.7577605,32.7018615,FUKUE,843
松山,132.7655752,33.8391574,MATSUYAMA,887
高松,134.046574,34.3427879,TAKAMATSU,891
宇和島,132.5605575,33.2233404,UWAJIMA,892
高知,133.5310786,33.5597062,KOCHI,893
徳島,134.5593601,34.0657179,TOKUSHIMA,895
名瀬,129.526325,28.398713,NASE,909
与那国島,123.0085106,24.4616586,YONAGUNIJIMA,912
西表島,123.8187977,24.3300613,IRIOMOTE ISLAND,917
石垣島,124.1754442,24.4064027,ISHIGAKIJIMA,918
宮古島,125.2811486,24.80549,MIYAKOJIMA,927
久米島,126.7711774,26.3503959,KUMEJIMA,929
那覇,127.6791568,26.2123124,NAHA,936
名護,127.9773162,26.5915465,NAGO,940
南大東島,131.2507325,25.848778,MINAMI DAITOJIMA,945
